evaluator: suite suites/openings_v1.npz (516 openings), anchors ['v2b_net_0150', 'deep8_c1_300_net_0300', 'deep10_c1_300_net_0300'], 64 sims, endgame set suites/endgame_v2_dev.npz, device NVIDIA GeForce RTX 3060
net_0010: vs v2b_net_0150 20.1 [17.9, 22.3]  vs deep8_c1_300_net_0300 7.7 [6.2, 9.1]  vs deep10_c1_300_net_0300 7.7 [6.2, 9.2]  endgame WDL 59.7 regret 0.162  (863s; 0 pending)
net_0020: vs v2b_net_0150 33.0 [30.5, 35.5]  vs deep8_c1_300_net_0300 12.7 [10.8, 14.6]  vs deep10_c1_300_net_0300 10.9 [9.3, 12.7]  endgame WDL 69.7 regret 0.101  (737s; 0 pending)
net_0030: vs v2b_net_0150 40.3 [37.6, 43.0]  vs deep8_c1_300_net_0300 16.0 [14.1, 18.0]  vs deep10_c1_300_net_0300 15.5 [13.6, 17.4]  endgame WDL 69.8 regret 0.082  (752s; 0 pending)
net_0040: vs v2b_net_0150 49.9 [47.1, 52.7]  vs deep8_c1_300_net_0300 22.9 [20.8, 25.0]  vs deep10_c1_300_net_0300 18.6 [16.6, 20.8]  endgame WDL 77.1 regret 0.093  (756s; 0 pending)
net_0050: vs v2b_net_0150 52.1 [49.4, 55.0]  vs deep8_c1_300_net_0300 24.6 [22.2, 27.1]  vs deep10_c1_300_net_0300 21.8 [19.4, 24.1]  endgame WDL 74.5 regret 0.077  (743s; 0 pending)
net_0060: vs v2b_net_0150 55.4 [52.6, 58.1]  vs deep8_c1_300_net_0300 24.6 [22.2, 27.0]  vs deep10_c1_300_net_0300 22.9 [20.6, 25.1]  endgame WDL 73.1 regret 0.073  (723s; 0 pending)
net_0070: vs v2b_net_0150 59.7 [57.0, 62.4]  vs deep8_c1_300_net_0300 27.6 [25.2, 30.1]  vs deep10_c1_300_net_0300 26.7 [24.4, 29.0]  endgame WDL 76.3 regret 0.064  (722s; 0 pending)
net_0080: vs v2b_net_0150 64.3 [61.6, 67.0]  vs deep8_c1_300_net_0300 34.1 [31.4, 36.8]  vs deep10_c1_300_net_0300 29.4 [27.0, 31.8]  endgame WDL 74.8 regret 0.067  (352s; 0 pending)
net_0090: vs v2b_net_0150 65.7 [63.0, 68.4]  vs deep8_c1_300_net_0300 35.7 [33.2, 38.2]  vs deep10_c1_300_net_0300 33.9 [31.5, 36.4]  endgame WDL 77.0 regret 0.060  (359s; 0 pending)
net_0100: vs v2b_net_0150 68.8 [66.2, 71.3]  vs deep8_c1_300_net_0300 39.6 [37.0, 42.1]  vs deep10_c1_300_net_0300 34.1 [31.7, 36.5]  endgame WDL 79.3 regret 0.058  (364s; 0 pending)
net_0110: vs v2b_net_0150 70.2 [67.8, 72.7]  vs deep8_c1_300_net_0300 40.2 [37.7, 42.8]  vs deep10_c1_300_net_0300 38.7 [36.0, 41.3]  endgame WDL 80.1 regret 0.056  (361s; 0 pending)
net_0120: vs v2b_net_0150 67.8 [64.9, 70.5]  vs deep8_c1_300_net_0300 38.0 [35.4, 40.8]  vs deep10_c1_300_net_0300 38.1 [35.5, 40.8]  endgame WDL 77.0 regret 0.061  (355s; 0 pending)
net_0130: vs v2b_net_0150 70.2 [67.6, 72.9]  vs deep8_c1_300_net_0300 42.8 [40.3, 45.6]  vs deep10_c1_300_net_0300 40.4 [37.5, 43.2]  endgame WDL 81.9 regret 0.050  (364s; 0 pending)
net_0140: vs v2b_net_0150 71.5 [69.0, 74.0]  vs deep8_c1_300_net_0300 43.0 [40.3, 45.5]  vs deep10_c1_300_net_0300 41.8 [39.1, 44.3]  endgame WDL 82.0 regret 0.049  (361s; 0 pending)
net_0150: vs v2b_net_0150 75.5 [73.3, 78.0]  vs deep8_c1_300_net_0300 44.1 [41.6, 46.8]  vs deep10_c1_300_net_0300 43.6 [40.9, 46.2]  endgame WDL 82.3 regret 0.051  (369s; 0 pending)
net_0160: vs v2b_net_0150 75.2 [72.8, 77.4]  vs deep8_c1_300_net_0300 48.1 [45.5, 50.7]  vs deep10_c1_300_net_0300 44.1 [41.3, 46.7]  endgame WDL 83.3 regret 0.044  (357s; 0 pending)
net_0170: vs v2b_net_0150 75.0 [72.6, 77.2]  vs deep8_c1_300_net_0300 47.9 [45.2, 50.4]  vs deep10_c1_300_net_0300 43.0 [40.3, 45.6]  endgame WDL 82.3 regret 0.049  (363s; 0 pending)
net_0180: vs v2b_net_0150 76.6 [74.2, 78.8]  vs deep8_c1_300_net_0300 49.2 [46.6, 51.9]  vs deep10_c1_300_net_0300 48.2 [45.4, 50.9]  endgame WDL 84.1 regret 0.042  (360s; 0 pending)
net_0190: vs v2b_net_0150 76.0 [73.6, 78.2]  vs deep8_c1_300_net_0300 49.5 [46.8, 52.3]  vs deep10_c1_300_net_0300 48.4 [45.7, 51.1]  endgame WDL 83.5 regret 0.041  (354s; 0 pending)
net_0200: vs v2b_net_0150 75.9 [73.5, 78.2]  vs deep8_c1_300_net_0300 48.0 [45.2, 50.4]  vs deep10_c1_300_net_0300 46.5 [43.6, 49.1]  endgame WDL 84.1 regret 0.046  (371s; 0 pending)
net_0210: vs v2b_net_0150 82.2 [80.2, 84.2]  vs deep8_c1_300_net_0300 55.2 [52.6, 57.8]  vs deep10_c1_300_net_0300 55.6 [53.0, 58.2]  endgame WDL 86.6 regret 0.036  (381s; 0 pending)
net_0220: vs v2b_net_0150 83.4 [81.4, 85.5]  vs deep8_c1_300_net_0300 58.8 [56.2, 61.4]  vs deep10_c1_300_net_0300 57.0 [54.3, 59.7]  endgame WDL 86.0 regret 0.039  (353s; 0 pending)
net_0230: vs v2b_net_0150 83.0 [81.1, 85.1]  vs deep8_c1_300_net_0300 61.7 [59.1, 64.3]  vs deep10_c1_300_net_0300 56.6 [53.8, 59.2]  endgame WDL 86.8 regret 0.041  (360s; 0 pending)
net_0240: vs v2b_net_0150 83.9 [81.8, 85.8]  vs deep8_c1_300_net_0300 61.8 [59.2, 64.2]  vs deep10_c1_300_net_0300 57.4 [54.6, 60.1]  endgame WDL 86.6 regret 0.039  (367s; 0 pending)
net_0250: vs v2b_net_0150 84.6 [82.6, 86.4]  vs deep8_c1_300_net_0300 64.4 [62.1, 66.8]  vs deep10_c1_300_net_0300 61.2 [58.6, 63.9]  endgame WDL 87.0 regret 0.038  (358s; 0 pending)
net_0260: vs v2b_net_0150 84.2 [82.2, 86.2]  vs deep8_c1_300_net_0300 62.1 [59.4, 64.7]  vs deep10_c1_300_net_0300 59.5 [57.0, 62.1]  endgame WDL 86.5 regret 0.039  (363s; 0 pending)
net_0270: vs v2b_net_0150 83.5 [81.4, 85.6]  vs deep8_c1_300_net_0300 63.6 [61.0, 66.0]  vs deep10_c1_300_net_0300 61.1 [58.4, 63.5]  endgame WDL 87.2 regret 0.037  (365s; 0 pending)
net_0280: vs v2b_net_0150 84.9 [82.9, 86.8]  vs deep8_c1_300_net_0300 63.7 [61.0, 66.4]  vs deep10_c1_300_net_0300 58.5 [56.0, 61.1]  endgame WDL 87.0 regret 0.040  (362s; 0 pending)
net_0290: vs v2b_net_0150 84.9 [83.0, 86.7]  vs deep8_c1_300_net_0300 62.3 [59.7, 64.8]  vs deep10_c1_300_net_0300 60.0 [57.4, 62.6]  endgame WDL 87.6 regret 0.034  (354s; 0 pending)
net_0300: vs v2b_net_0150 84.2 [82.3, 86.2]  vs deep8_c1_300_net_0300 63.9 [61.4, 66.4]  vs deep10_c1_300_net_0300 62.1 [59.6, 64.6]  endgame WDL 87.5 regret 0.034  (366s; 0 pending)
done: 30 checkpoints in runs/deep8_c1_300_e2\eval_full.jsonl
