evaluator: suite suites/openings_v1.npz (516 openings), anchors ['v2b_net_0150', 'deep8_c1_300_e4_net_0300', 'deep8_c1_300_net_0300'], 64 sims, endgame set suites/endgame_v2_dev.npz, device NVIDIA GeForce RTX 3060
net_0010: vs v2b_net_0150 32.1 [29.5, 34.9]  vs deep8_c1_300_e4_net_0300 7.0 [5.8, 8.4]  vs deep8_c1_300_net_0300 12.5 [10.8, 14.4]  endgame WDL 72.0 regret 0.084  (1034s; 0 pending)
net_0020: vs v2b_net_0150 47.5 [44.9, 50.3]  vs deep8_c1_300_e4_net_0300 11.1 [9.4, 12.7]  vs deep8_c1_300_net_0300 21.5 [19.2, 23.6]  endgame WDL 73.6 regret 0.069  (909s; 0 pending)
net_0030: vs v2b_net_0150 58.4 [55.9, 61.2]  vs deep8_c1_300_e4_net_0300 13.7 [12.0, 15.5]  vs deep8_c1_300_net_0300 30.2 [27.7, 32.7]  endgame WDL 79.9 regret 0.061  (930s; 0 pending)
net_0040: vs v2b_net_0150 66.6 [63.9, 69.2]  vs deep8_c1_300_e4_net_0300 19.9 [17.8, 22.1]  vs deep8_c1_300_net_0300 33.7 [31.1, 36.1]  endgame WDL 78.8 regret 0.056  (904s; 0 pending)
net_0050: vs v2b_net_0150 74.1 [71.5, 76.4]  vs deep8_c1_300_e4_net_0300 22.5 [20.2, 24.8]  vs deep8_c1_300_net_0300 39.4 [36.8, 42.0]  endgame WDL 80.3 regret 0.055  (916s; 0 pending)
net_0060: vs v2b_net_0150 73.7 [71.4, 76.2]  vs deep8_c1_300_e4_net_0300 24.0 [21.8, 26.4]  vs deep8_c1_300_net_0300 42.9 [40.2, 45.6]  endgame WDL 80.8 regret 0.040  (916s; 0 pending)
net_0070: vs v2b_net_0150 76.9 [74.6, 79.3]  vs deep8_c1_300_e4_net_0300 24.9 [22.6, 27.4]  vs deep8_c1_300_net_0300 48.3 [45.5, 50.9]  endgame WDL 84.0 regret 0.053  (925s; 0 pending)
net_0080: vs v2b_net_0150 78.8 [76.6, 81.1]  vs deep8_c1_300_e4_net_0300 28.1 [25.8, 30.4]  vs deep8_c1_300_net_0300 49.9 [47.0, 52.5]  endgame WDL 84.0 regret 0.046  (829s; 0 pending)
net_0090: vs v2b_net_0150 79.5 [77.3, 81.8]  vs deep8_c1_300_e4_net_0300 27.5 [25.1, 29.9]  vs deep8_c1_300_net_0300 51.0 [48.2, 53.7]  endgame WDL 83.7 regret 0.040  (916s; 0 pending)
net_0100: vs v2b_net_0150 78.6 [76.3, 80.9]  vs deep8_c1_300_e4_net_0300 31.4 [29.0, 33.9]  vs deep8_c1_300_net_0300 54.9 [52.2, 57.7]  endgame WDL 85.2 regret 0.046  (854s; 0 pending)
net_0110: vs v2b_net_0150 80.2 [78.0, 82.4]  vs deep8_c1_300_e4_net_0300 32.6 [30.1, 34.9]  vs deep8_c1_300_net_0300 54.4 [51.7, 57.1]  endgame WDL 85.2 regret 0.042  (851s; 0 pending)
net_0120: vs v2b_net_0150 79.5 [77.3, 81.9]  vs deep8_c1_300_e4_net_0300 28.6 [26.3, 31.0]  vs deep8_c1_300_net_0300 55.7 [53.0, 58.3]  endgame WDL 86.4 regret 0.033  (1001s; 0 pending)
net_0130: vs v2b_net_0150 81.9 [79.9, 84.0]  vs deep8_c1_300_e4_net_0300 32.5 [29.8, 35.2]  vs deep8_c1_300_net_0300 55.6 [53.0, 58.1]  endgame WDL 84.6 regret 0.036  (614s; 0 pending)
net_0140: vs v2b_net_0150 81.1 [79.0, 83.3]  vs deep8_c1_300_e4_net_0300 35.1 [32.7, 37.7]  vs deep8_c1_300_net_0300 57.7 [55.1, 60.2]  endgame WDL 83.8 regret 0.035  (623s; 0 pending)
net_0150: vs v2b_net_0150 81.2 [79.3, 83.3]  vs deep8_c1_300_e4_net_0300 33.6 [31.1, 36.1]  vs deep8_c1_300_net_0300 58.5 [55.8, 61.2]  endgame WDL 86.9 regret 0.036  (350s; 0 pending)
