evaluator: suite suites/openings_v1.npz (516 openings), anchors ['v2b_net_0150', 'deep8_c1_300_e4_net_0300', 'deep8_c1_300_net_0300'], 64 sims, endgame set suites/endgame_v2_dev.npz, device NVIDIA GeForce RTX 3060
net_0010: vs v2b_net_0150 8.0 [6.5, 9.5]  vs deep8_c1_300_e4_net_0300 0.7 [0.2, 1.2]  vs deep8_c1_300_net_0300 2.3 [1.6, 3.2]  endgame WDL 60.2 regret 0.128  (363s; 0 pending)
net_0020: vs v2b_net_0150 16.3 [14.2, 18.5]  vs deep8_c1_300_e4_net_0300 1.9 [1.2, 2.8]  vs deep8_c1_300_net_0300 4.1 [3.0, 5.2]  endgame WDL 64.3 regret 0.105  (338s; 0 pending)
net_0030: vs v2b_net_0150 21.1 [18.8, 23.5]  vs deep8_c1_300_e4_net_0300 2.3 [1.6, 3.0]  vs deep8_c1_300_net_0300 7.4 [6.0, 8.9]  endgame WDL 71.3 regret 0.098  (342s; 0 pending)
net_0040: vs v2b_net_0150 20.7 [18.2, 23.2]  vs deep8_c1_300_e4_net_0300 1.9 [1.3, 2.7]  vs deep8_c1_300_net_0300 5.7 [4.5, 7.1]  endgame WDL 68.1 regret 0.084  (349s; 0 pending)
net_0050: vs v2b_net_0150 22.0 [19.8, 24.3]  vs deep8_c1_300_e4_net_0300 1.8 [1.2, 2.6]  vs deep8_c1_300_net_0300 5.1 [4.0, 6.4]  endgame WDL 69.3 regret 0.082  (341s; 0 pending)
net_0060: vs v2b_net_0150 21.8 [19.3, 24.2]  vs deep8_c1_300_e4_net_0300 2.7 [1.9, 3.5]  vs deep8_c1_300_net_0300 8.3 [6.8, 9.9]  endgame WDL 71.3 regret 0.076  (351s; 0 pending)
net_0070: vs v2b_net_0150 31.8 [29.0, 34.5]  vs deep8_c1_300_e4_net_0300 3.4 [2.6, 4.4]  vs deep8_c1_300_net_0300 10.1 [8.4, 11.7]  endgame WDL 71.4 regret 0.077  (346s; 0 pending)
net_0080: vs v2b_net_0150 31.8 [29.3, 34.5]  vs deep8_c1_300_e4_net_0300 4.2 [3.1, 5.3]  vs deep8_c1_300_net_0300 10.4 [8.8, 12.2]  endgame WDL 73.6 regret 0.078  (351s; 0 pending)
net_0090: vs v2b_net_0150 26.7 [24.2, 29.4]  vs deep8_c1_300_e4_net_0300 3.6 [2.7, 4.6]  vs deep8_c1_300_net_0300 10.0 [8.5, 11.7]  endgame WDL 72.4 regret 0.071  (348s; 0 pending)
net_0100: vs v2b_net_0150 32.9 [30.3, 35.8]  vs deep8_c1_300_e4_net_0300 4.8 [3.8, 6.0]  vs deep8_c1_300_net_0300 12.1 [10.3, 13.9]  endgame WDL 70.2 regret 0.076  (348s; 0 pending)
net_0110: vs v2b_net_0150 30.9 [28.1, 33.6]  vs deep8_c1_300_e4_net_0300 4.8 [3.7, 5.9]  vs deep8_c1_300_net_0300 9.9 [8.2, 11.6]  endgame WDL 75.0 regret 0.067  (352s; 0 pending)
