=== G arm (g) gcnn8x46, 400k positions x 32,8,16 passes, lr 0.02, seed 0, dev slice (21:24)
runs/gdata_v1.npz: train 400560, dev 49726 (33616 with no canonical twin in train); arm gcnn8x46
  gcnn8x46 positions 400000 passes 32 seed 0
    pass 1/32: loss_p 1.225 loss_v 0.1688 (236s)
    pass 2/32: loss_p 1.175 loss_v 0.1059 (473s)
    pass 3/32: loss_p 1.077 loss_v 0.1084 (710s)
    pass 4/32: loss_p 1.040 loss_v 0.1059 (948s)
    pass 5/32: loss_p 1.005 loss_v 0.0876 (1186s)
    pass 6/32: loss_p 0.966 loss_v 0.0958 (1423s)
    pass 7/32: loss_p 0.924 loss_v 0.0922 (1660s)
    pass 8/32: loss_p 0.934 loss_v 0.0865 (1898s)
    pass 9/32: loss_p 0.857 loss_v 0.0780 (2198s)
    pass 10/32: loss_p 0.858 loss_v 0.0847 (2851s)
    pass 11/32: loss_p 0.853 loss_v 0.0865 (3256s)
    pass 12/32: loss_p 0.801 loss_v 0.0620 (3493s)
    pass 13/32: loss_p 0.728 loss_v 0.0868 (3730s)
    pass 14/32: loss_p 0.694 loss_v 0.0890 (3968s)
    pass 15/32: loss_p 0.666 loss_v 0.0777 (4336s)
    pass 16/32: loss_p 0.628 loss_v 0.0775 (5033s)
    pass 17/32: loss_p 0.570 loss_v 0.0783 (5278s)
    pass 18/32: loss_p 0.597 loss_v 0.0729 (5515s)
    pass 19/32: loss_p 0.562 loss_v 0.0632 (5753s)
    pass 20/32: loss_p 0.537 loss_v 0.0624 (5990s)
    pass 21/32: loss_p 0.525 loss_v 0.0606 (6309s)
    pass 22/32: loss_p 0.387 loss_v 0.0564 (7004s)
    pass 23/32: loss_p 0.343 loss_v 0.0556 (7314s)
    pass 24/32: loss_p 0.352 loss_v 0.0568 (7552s)
    pass 25/32: loss_p 0.365 loss_v 0.0559 (7789s)
    pass 26/32: loss_p 0.366 loss_v 0.0496 (8027s)
    pass 27/32: loss_p 0.366 loss_v 0.0604 (8283s)
    pass 28/32: loss_p 0.353 loss_v 0.0540 (8974s)
    pass 29/32: loss_p 0.347 loss_v 0.0568 (9333s)
    pass 30/32: loss_p 0.344 loss_v 0.0533 (9571s)
    pass 31/32: loss_p 0.360 loss_v 0.0473 (9808s)
    pass 32/32: loss_p 0.360 loss_v 0.0531 (10046s)
    -> KL 1.0336 top1 0.656 brier 0.1020 acc3 0.835 | disjoint KL 1.5160 | endgame WDL 67.0 regret 0.159 | D4 JS 0.0000b | 609.68 ms @4096, 0.67 ms @1 (10076s)
  gcnn8x46 positions 400000 passes 8 seed 0
    pass 1/8: loss_p 1.225 loss_v 0.1688 (262s)
    pass 2/8: loss_p 1.175 loss_v 0.1059 (954s)
    pass 3/8: loss_p 1.077 loss_v 0.1084 (1315s)
    pass 4/8: loss_p 1.040 loss_v 0.1059 (1552s)
    pass 5/8: loss_p 1.005 loss_v 0.0876 (1790s)
    pass 6/8: loss_p 0.875 loss_v 0.0766 (2028s)
    pass 7/8: loss_p 0.805 loss_v 0.0849 (2265s)
    pass 8/8: loss_p 0.779 loss_v 0.0782 (2929s)
    -> KL 0.7636 top1 0.639 brier 0.1073 acc3 0.829 | disjoint KL 1.0327 | endgame WDL 69.4 regret 0.140 | D4 JS 0.0000b | 1693.87 ms @4096, 1.79 ms @1 (13083s)
  gcnn8x46 positions 400000 passes 16 seed 0
    pass 1/16: loss_p 1.225 loss_v 0.1688 (363s)
    pass 2/16: loss_p 1.175 loss_v 0.1059 (600s)
    pass 3/16: loss_p 1.077 loss_v 0.1084 (837s)
    pass 4/16: loss_p 1.040 loss_v 0.1059 (1075s)
    pass 5/16: loss_p 1.005 loss_v 0.0876 (1312s)
    pass 6/16: loss_p 0.966 loss_v 0.0958 (1550s)
    pass 7/16: loss_p 0.924 loss_v 0.0922 (1787s)
    pass 8/16: loss_p 0.934 loss_v 0.0865 (2435s)
    pass 9/16: loss_p 0.857 loss_v 0.0780 (2870s)
    pass 10/16: loss_p 0.858 loss_v 0.0847 (3108s)
    pass 11/16: loss_p 0.754 loss_v 0.0803 (3345s)
    pass 12/16: loss_p 0.601 loss_v 0.0590 (3582s)
    pass 13/16: loss_p 0.550 loss_v 0.0718 (3820s)
    pass 14/16: loss_p 0.515 loss_v 0.0769 (4057s)
    pass 15/16: loss_p 0.493 loss_v 0.0672 (4295s)
    pass 16/16: loss_p 0.475 loss_v 0.0696 (4986s)
    -> KL 0.9195 top1 0.648 brier 0.1027 acc3 0.836 | disjoint KL 1.3219 | endgame WDL 68.4 regret 0.164 | D4 JS 0.0000b | 1693.76 ms @4096, 1.81 ms @1 (18147s)
wrote runs/plan6/G_arm_gcnn8x46.json  [18147s]
G arm (g) DONE (02:27)
