=== resnet8_tied lr 0.02, 400k x 16,32 (12:15)
runs/gdata_v1.npz: train 400560, dev 49726 (33616 with no canonical twin in train); arm resnet8_tied
  resnet8_tied positions 400000 passes 16 seed 0
    pass 1/16: loss_p 1.391 loss_v 0.1521 (45s)
    pass 2/16: loss_p 1.338 loss_v 0.1324 (91s)
    pass 3/16: loss_p 1.266 loss_v 0.1341 (136s)
    pass 4/16: loss_p 1.240 loss_v 0.1332 (180s)
    pass 5/16: loss_p 1.176 loss_v 0.0996 (225s)
    pass 6/16: loss_p 1.165 loss_v 0.1086 (269s)
    pass 7/16: loss_p 1.162 loss_v 0.1073 (314s)
    pass 8/16: loss_p 1.152 loss_v 0.1341 (360s)
    pass 9/16: loss_p 1.110 loss_v 0.1004 (405s)
    pass 10/16: loss_p 1.130 loss_v 0.0990 (543s)
    pass 11/16: loss_p 1.145 loss_v 0.1021 (752s)
    pass 12/16: loss_p 1.081 loss_v 0.0893 (975s)
    pass 13/16: loss_p 1.017 loss_v 0.0899 (1162s)
    pass 14/16: loss_p 1.045 loss_v 0.0912 (1243s)
    pass 15/16: loss_p 1.068 loss_v 0.0951 (1288s)
    pass 16/16: loss_p 1.040 loss_v 0.0879 (1332s)
    -> KL 0.7877 top1 0.591 brier 0.0980 acc3 0.820 | disjoint KL 0.9223 | endgame WDL 70.8 regret 0.117 | D4 JS 0.0483b | 85.30 ms @4096, 0.31 ms @1 (1338s)
  resnet8_tied positions 400000 passes 32 seed 0
    pass 1/32: loss_p 1.391 loss_v 0.1521 (45s)
    pass 2/32: loss_p 1.338 loss_v 0.1324 (90s)
    pass 3/32: loss_p 1.266 loss_v 0.1341 (135s)
    pass 4/32: loss_p 1.240 loss_v 0.1332 (179s)
    pass 5/32: loss_p 1.176 loss_v 0.0996 (224s)
    pass 6/32: loss_p 1.165 loss_v 0.1086 (269s)
    pass 7/32: loss_p 1.162 loss_v 0.1073 (314s)
    pass 8/32: loss_p 1.152 loss_v 0.1341 (358s)
    pass 9/32: loss_p 1.110 loss_v 0.1004 (402s)
    pass 10/32: loss_p 1.130 loss_v 0.0990 (447s)
    pass 11/32: loss_p 1.185 loss_v 0.1125 (492s)
    pass 12/32: loss_p 1.137 loss_v 0.1002 (537s)
    pass 13/32: loss_p 1.070 loss_v 0.0964 (581s)
    pass 14/32: loss_p 1.073 loss_v 0.0957 (626s)
    pass 15/32: loss_p 1.094 loss_v 0.0982 (671s)
    pass 16/32: loss_p 1.077 loss_v 0.0988 (716s)
    pass 17/32: loss_p 1.101 loss_v 0.0991 (760s)
    pass 18/32: loss_p 1.118 loss_v 0.0964 (805s)
    pass 19/32: loss_p 1.104 loss_v 0.0824 (850s)
    pass 20/32: loss_p 1.081 loss_v 0.0839 (895s)
    pass 21/32: loss_p 1.078 loss_v 0.0813 (939s)
    pass 22/32: loss_p 0.968 loss_v 0.0845 (984s)
    pass 23/32: loss_p 0.987 loss_v 0.0783 (1029s)
    pass 24/32: loss_p 0.993 loss_v 0.0860 (1074s)
    pass 25/32: loss_p 0.991 loss_v 0.0889 (1119s)
    pass 26/32: loss_p 1.017 loss_v 0.0900 (1163s)
    pass 27/32: loss_p 0.999 loss_v 0.0931 (1208s)
    pass 28/32: loss_p 1.008 loss_v 0.0898 (1253s)
    pass 29/32: loss_p 0.962 loss_v 0.0894 (1298s)
    pass 30/32: loss_p 1.011 loss_v 0.0893 (1342s)
    pass 31/32: loss_p 1.023 loss_v 0.0848 (1387s)
    pass 32/32: loss_p 0.978 loss_v 0.0795 (1432s)
    -> KL 0.7408 top1 0.620 brier 0.0942 acc3 0.849 | disjoint KL 0.8970 | endgame WDL 73.1 regret 0.104 | D4 JS 0.0585b | 84.84 ms @4096, 0.30 ms @1 (2774s)
wrote runs/plan6/H4_lr3_resnet8_tied_lr0.02.json  [2774s]
H4 LR sweep 3 DONE (13:01)
