Reply orbits (PLAN6 E2): gap = X's value after the second-best distinct reply orbit minus after the best; range = worst reply orbit minus best. A first move is 'flat' when gap <= 0.03.

deep8_c1_300_e4@1024: gap <= 0.03 in 9 / 15 first moves; range median 0.129, min 0.025, max 0.259
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      1 (+0.299)             8   +0.003  0.107
  [ 1]    9     10 (+0.164)            12   +0.006  0.196
  [ 2]    9     20 (+0.166)            21   +0.051  0.110
  [ 4]    6     40 (+0.207)            36   +0.084  0.145
  [ 5]    9     50 (+0.236)            45   +0.004  0.188
  [ 8]    6     80 (+0.209)            73   +0.031  0.110
  [ 9]    9      0 (+0.031)             5   +0.010  0.129
  [10]    5     16 (+0.182)             9   +0.013  0.107
  [12]    9     30 (+0.155)            34   +0.014  0.194
  [13]    6     40 (-0.064)            36   +0.159  0.193
  [15]    9     60 (+0.086)            55   +0.049  0.141
  [16]    6     70 (+0.085)            66   +0.011  0.259
  [36]    6      0 (+0.386)             4   +0.006  0.075
  [37]    6     10 (+0.298)            12   +0.041  0.120
  [40]    2     36 (+0.488)            37   +0.025  0.025

deep8_c1_300_e4@4096: gap <= 0.03 in 9 / 15 first moves; range median 0.121, min 0.019, max 0.253
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      1 (+0.307)             2   +0.000  0.102
  [ 1]    9     10 (+0.167)            12   +0.009  0.193
  [ 2]    9     20 (+0.164)            25   +0.052  0.117
  [ 4]    6     40 (+0.204)            36   +0.078  0.147
  [ 5]    9     45 (+0.246)            50   +0.006  0.190
  [ 8]    6     80 (+0.214)            73   +0.033  0.104
  [ 9]    9      0 (+0.034)             5   +0.008  0.116
  [10]    5     16 (+0.178)            12   +0.014  0.121
  [12]    9     30 (+0.150)            34   +0.024  0.194
  [13]    6     40 (-0.068)            36   +0.154  0.188
  [15]    9     60 (+0.095)            55   +0.040  0.142
  [16]    6     70 (+0.083)            66   +0.023  0.253
  [36]    6      0 (+0.386)             4   +0.011  0.088
  [37]    6     10 (+0.298)            12   +0.046  0.120
  [40]    2     36 (+0.489)            37   +0.019  0.019

deep8_c1_300_e4@16384: gap <= 0.03 in 9 / 15 first moves; range median 0.150, min 0.022, max 0.260
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      8 (+0.315)             2   +0.005  0.100
  [ 1]    9     10 (+0.165)            12   +0.008  0.199
  [ 2]    9     20 (+0.156)            25   +0.073  0.139
  [ 4]    6     40 (+0.192)            36   +0.090  0.161
  [ 5]    9     45 (+0.258)            50   +0.006  0.189
  [ 8]    6     80 (+0.230)            72   +0.022  0.103
  [ 9]    9      0 (+0.037)             5   +0.001  0.126
  [10]    5     16 (+0.168)            12   +0.017  0.150
  [12]    9     30 (+0.164)            34   +0.010  0.191
  [13]    6     40 (-0.079)            36   +0.142  0.203
  [15]    9     60 (+0.094)            55   +0.039  0.153
  [16]    6     70 (+0.083)            64   +0.038  0.260
  [36]    6      0 (+0.393)             4   +0.011  0.089
  [37]    6     10 (+0.301)            12   +0.051  0.124
  [40]    2     36 (+0.496)            37   +0.022  0.022

