Reply orbits (PLAN6 E2): gap = X's value after the second-best distinct reply orbit minus after the best; range = worst reply orbit minus best. A first move is 'flat' when gap <= 0.03.

v2b@1024: gap <= 0.03 in 13 / 15 first moves; range median 0.087, min 0.011, max 0.157
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      1 (+0.227)             5   +0.009  0.087
  [ 1]    9     14 (+0.114)            12   +0.001  0.108
  [ 2]    9     20 (+0.147)            18   +0.000  0.069
  [ 4]    6     36 (+0.128)            40   +0.017  0.076
  [ 5]    9     45 (+0.145)            46   +0.005  0.122
  [ 8]    6     80 (+0.148)            72   +0.004  0.094
  [ 9]    9      0 (+0.051)             7   +0.009  0.076
  [10]    5     12 (+0.147)            16   +0.000  0.137
  [12]    9     30 (+0.101)            34   +0.017  0.132
  [13]    6     40 (-0.055)            37   +0.075  0.134
  [15]    9     60 (+0.066)            59   +0.035  0.085
  [16]    6     70 (+0.078)            66   +0.002  0.157
  [36]    6      4 (+0.247)             5   +0.028  0.048
  [37]    6     12 (+0.191)            10   +0.010  0.082
  [40]    2     37 (+0.346)            36   +0.011  0.011

v2b@4096: gap <= 0.03 in 13 / 15 first moves; range median 0.086, min 0.012, max 0.151
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      1 (+0.234)             5   +0.002  0.086
  [ 1]    9     12 (+0.104)            14   +0.005  0.106
  [ 2]    9     18 (+0.146)            20   +0.002  0.070
  [ 4]    6     36 (+0.114)            40   +0.021  0.083
  [ 5]    9     46 (+0.144)            45   +0.004  0.128
  [ 8]    6     72 (+0.147)            80   +0.013  0.093
  [ 9]    9      0 (+0.057)             5   +0.005  0.073
  [10]    5     12 (+0.135)            16   +0.017  0.149
  [12]    9     30 (+0.099)            28   +0.009  0.132
  [13]    6     40 (-0.051)            37   +0.057  0.105
  [15]    9     60 (+0.071)            55   +0.022  0.071
  [16]    6     70 (+0.079)            66   +0.014  0.151
  [36]    6      4 (+0.250)             8   +0.036  0.056
  [37]    6     12 (+0.196)            10   +0.012  0.077
  [40]    2     37 (+0.352)            36   +0.012  0.012

v2b@16384: gap <= 0.03 in 14 / 15 first moves; range median 0.083, min 0.006, max 0.150
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      5 (+0.207)             1   +0.023  0.116
  [ 1]    9     12 (+0.099)            14   +0.014  0.101
  [ 2]    9     18 (+0.144)            20   +0.004  0.057
  [ 4]    6     36 (+0.117)            40   +0.008  0.061
  [ 5]    9     46 (+0.141)            52   +0.012  0.139
  [ 8]    6     72 (+0.142)            80   +0.025  0.098
  [ 9]    9      0 (+0.052)             5   +0.003  0.074
  [10]    5     12 (+0.134)            16   +0.012  0.143
  [12]    9     30 (+0.098)            28   +0.007  0.135
  [13]    6     40 (-0.039)            39   +0.071  0.083
  [15]    9     60 (+0.071)            55   +0.005  0.070
  [16]    6     70 (+0.075)            66   +0.019  0.150
  [36]    6      4 (+0.247)             0   +0.011  0.047
  [37]    6     12 (+0.195)            10   +0.026  0.072
  [40]    2     37 (+0.359)            36   +0.006  0.006

