runs/deep8_c1_300_e8: 98581 games in 20 files (games_0280.npz..games_0299.npz); grading runs/deep8_c1_300_e8/net_0300.pt at 256 sims on cuda:1
plies 40-70, 500 positions per ply, budget 100,000,000 nodes per position, 8 solver processes, rule count

 ply   alive sampled          complete coverage   nodes med   nodes p90          optimal %             regret  incompl      s
(complete coverage = every legal child's exact value obtained inside the shared budget — stricter than proving the root's value)
(coverage: conditional on alive, 95 % Wilson | nodes, optimal, regret: conditional on complete; optimal Wilson, regret cluster bootstrap)
  40   98181     500  28.2 % [ 24.4, 32.3] (141)   5,566,524  56,056,556 100.0 [ 97.3,100.0]        0.000 [n/a]      359  386.9
  41   97542     500  40.0 % [ 35.8, 44.4] (200)   1,510,568  61,635,210 100.0 [ 98.1,100.0]        0.000 [n/a]      300  308.5
  42   97285     500  50.0 % [ 45.6, 54.4] (250)   2,503,148  46,821,695 100.0 [ 98.5,100.0]        0.000 [n/a]      250  265.8
  43   95768     500  62.8 % [ 58.5, 66.9] (314)     975,176  40,170,969 100.0 [ 98.8,100.0]        0.000 [n/a]      186  209.6
  44   95087     500  76.4 % [ 72.5, 79.9] (382)     745,648  43,471,984  99.7 [ 98.5,100.0] 0.003 [0.000,0.008]      118  155.9
  45   91724     500  82.6 % [ 79.0, 85.7] (413)      86,447  16,683,217  99.8 [ 98.6,100.0] 0.002 [0.000,0.007]       87  114.8
  46   90214     500  87.6 % [ 84.4, 90.2] (438)     110,395  21,061,661  99.8 [ 98.7,100.0] 0.002 [0.000,0.007]       62   94.8
  47   84501     500  93.6 % [ 91.1, 95.4] (468)      31,347  14,603,043  99.8 [ 98.8,100.0] 0.002 [0.000,0.006]       32   61.5
  48   82079     500  94.8 % [ 92.5, 96.4] (474)      16,134   4,853,800  99.8 [ 98.8,100.0] 0.004 [0.000,0.013]       26   50.4
  49   74259     500  98.0 % [ 96.4, 98.9] (490)       3,796   1,574,209  99.8 [ 98.9,100.0] 0.002 [0.000,0.006]       10   28.6
  50   70386     500  99.0 % [ 97.7, 99.6] (495)       2,457   1,060,232 100.0 [ 99.2,100.0]        0.000 [n/a]        5   27.2
  51   60700     500  99.6 % [ 98.6, 99.9] (498)         563     368,902  99.8 [ 98.9,100.0] 0.002 [0.000,0.006]        2   21.2
  52   55956     500 100.0 % [ 99.2,100.0] (500)         583     218,452  99.8 [ 98.9,100.0] 0.002 [0.000,0.006]        0   13.6
  53   46034     500 100.0 % [ 99.2,100.0] (500)         226      42,739 100.0 [ 99.2,100.0]        0.000 [n/a]        0   12.8
  54   40577     500 100.0 % [ 99.2,100.0] (500)         122      69,008 100.0 [ 99.2,100.0]        0.000 [n/a]        0   12.0
  55   31545     500 100.0 % [ 99.2,100.0] (500)          48       7,198 100.0 [ 99.2,100.0]        0.000 [n/a]        0   11.2
  56   26515     500 100.0 % [ 99.2,100.0] (500)          38       4,320 100.0 [ 99.2,100.0]        0.000 [n/a]        0   12.1
  57   19352     500 100.0 % [ 99.2,100.0] (500)          13       2,192 100.0 [ 99.2,100.0]        0.000 [n/a]        0   12.5
  58   15358     500 100.0 % [ 99.2,100.0] (500)          20       1,812 100.0 [ 99.2,100.0]        0.000 [n/a]        0   12.8
  59   10473     500 100.0 % [ 99.2,100.0] (500)          12         572 100.0 [ 99.2,100.0]        0.000 [n/a]        0   11.9
  60    7850     500 100.0 % [ 99.2,100.0] (500)          14         442 100.0 [ 99.2,100.0]        0.000 [n/a]        0   12.2
  61    5119     500 100.0 % [ 99.2,100.0] (500)           8         233 100.0 [ 99.2,100.0]        0.000 [n/a]        0   12.5
  62    3640     500 100.0 % [ 99.2,100.0] (500)           6         245 100.0 [ 99.2,100.0]        0.000 [n/a]        0   12.8
  63    2266     500 100.0 % [ 99.2,100.0] (500)           4         113 100.0 [ 99.2,100.0]        0.000 [n/a]        0   12.5
  64    1505     500 100.0 % [ 99.2,100.0] (500)           3          91 100.0 [ 99.2,100.0]        0.000 [n/a]        0   12.6
  65     810     500 100.0 % [ 99.2,100.0] (500)           2          57 100.0 [ 99.2,100.0]        0.000 [n/a]        0   11.8
  66     492     492 100.0 % [ 99.2,100.0] (492)           2          52 100.0 [ 99.2,100.0]        0.000 [n/a]        0   11.7
  67     253     253 100.0 % [ 98.5,100.0] (253)           2          30 100.0 [ 98.5,100.0]        0.000 [n/a]        0    9.8
  68     142     142 100.0 % [ 97.4,100.0] (142)           3          27 100.0 [ 97.4,100.0]        0.000 [n/a]        0    8.6
  69      73      73 100.0 % [ 95.0,100.0] (73)           2          13 100.0 [ 95.0,100.0]        0.000 [n/a]        0    8.7
  70      50      50 100.0 % [ 92.9,100.0] (50)           2          13 100.0 [ 92.9,100.0]        0.000 [n/a]        0    8.1

wrote runs/plan7/J4_frontier.json and runs/plan7/J4_frontier_positions.npz (14010 positions)
