Reply orbits (PLAN6 E2): gap = X's value after the second-best distinct reply orbit minus after the best; range = worst reply orbit minus best. A first move is 'flat' when gap <= 0.03.

deep8_c1_300_e8@1024: gap <= 0.03 in 10 / 15 first moves; range median 0.145, min 0.022, max 0.228
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      8 (+0.304)             2   +0.021  0.115
  [ 1]    9     10 (+0.186)            14   +0.003  0.155
  [ 2]    9     20 (+0.216)            21   +0.024  0.085
  [ 4]    6     40 (+0.253)            38   +0.042  0.136
  [ 5]    9     50 (+0.283)            45   +0.013  0.178
  [ 8]    6     80 (+0.233)            73   +0.065  0.112
  [ 9]    9      0 (+0.077)             5   +0.001  0.085
  [10]    5     16 (+0.217)             9   +0.011  0.157
  [12]    9     28 (+0.186)            30   +0.002  0.171
  [13]    6     40 (-0.051)            42   +0.111  0.217
  [15]    9     60 (+0.115)            55   +0.045  0.145
  [16]    6     70 (+0.129)            66   +0.005  0.228
  [36]    6      5 (+0.428)             0   +0.001  0.051
  [37]    6     10 (+0.286)            12   +0.052  0.149
  [40]    2     36 (+0.521)            37   +0.022  0.022

deep8_c1_300_e8@4096: gap <= 0.03 in 10 / 15 first moves; range median 0.147, min 0.021, max 0.235
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      8 (+0.316)             2   +0.016  0.109
  [ 1]    9     14 (+0.187)            10   +0.002  0.167
  [ 2]    9     20 (+0.220)            21   +0.023  0.083
  [ 4]    6     40 (+0.244)            36   +0.047  0.147
  [ 5]    9     45 (+0.288)            50   +0.004  0.173
  [ 8]    6     80 (+0.231)            72   +0.065  0.115
  [ 9]    9      5 (+0.070)             0   +0.008  0.086
  [10]    5     16 (+0.222)             9   +0.013  0.158
  [12]    9     28 (+0.180)            30   +0.004  0.181
  [13]    6     40 (-0.042)            42   +0.095  0.210
  [15]    9     60 (+0.112)            55   +0.040  0.144
  [16]    6     70 (+0.122)            66   +0.028  0.235
  [36]    6      5 (+0.428)             0   +0.003  0.055
  [37]    6     10 (+0.287)            12   +0.052  0.149
  [40]    2     36 (+0.523)            37   +0.021  0.021

deep8_c1_300_e8@16384: gap <= 0.03 in 10 / 15 first moves; range median 0.144, min 0.017, max 0.235
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      8 (+0.326)             2   +0.008  0.104
  [ 1]    9     10 (+0.193)            16   +0.004  0.169
  [ 2]    9     20 (+0.225)            25   +0.017  0.082
  [ 4]    6     40 (+0.244)            36   +0.041  0.141
  [ 5]    9     45 (+0.286)            50   +0.018  0.175
  [ 8]    6     80 (+0.242)            72   +0.053  0.111
  [ 9]    9      5 (+0.076)             0   +0.003  0.094
  [10]    5     16 (+0.216)             9   +0.017  0.171
  [12]    9     28 (+0.172)            32   +0.007  0.203
  [13]    6     40 (-0.060)            42   +0.109  0.232
  [15]    9     60 (+0.122)            59   +0.038  0.144
  [16]    6     70 (+0.125)            66   +0.026  0.235
  [36]    6      5 (+0.430)             0   +0.008  0.053
  [37]    6     10 (+0.288)            12   +0.050  0.146
  [40]    2     36 (+0.535)            37   +0.017  0.017

